iter	Passed	Remaining
404	8708	12793
405	8809	12889
406	8841	12881
407	8861	12858
408	8882	12834
409	8902	12811
410	8923	12787
411	8943	12764
412	8964	12741
413	8984	12717
414	9005	12693
415	9026	12671
416	9046	12647
417	9067	12624
418	9087	12600
419	9107	12577
420	9129	12555
421	9150	12532
422	9170	12509
423	9191	12486
424	9212	12464
425	9233	12441
426	9254	12418
427	9274	12395
428	9295	12372
429	9316	12349
430	9336	12326
431	9357	12303
432	9377	12279
433	9398	12257
434	9419	12234
435	9440	12211
436	9460	12188
437	9481	12166
438	9502	12143
439	9523	12120
440	9543	12097
441	9565	12075
442	9586	12053
443	9606	12029
444	9627	12006
445	9647	11983
446	9668	11961
447	9690	11939
448	9711	11917
449	9732	11895
450	9752	11872
451	9774	11850
452	9812	11848
453	9833	11826
454	9854	11803
455	9875	11781
456	9897	11759
457	9918	11737
458	9939	11714
459	9960	11693
460	9981	11670
461	10003	11648
462	10024	11626
463	10045	11604
464	10067	11582
465	10087	11559
466	10109	11537
467	10130	11516
468	10152	11494
469	10173	11471
470	10194	11449
471	10215	11427
472	10236	11405
473	10257	11382
474	10280	11362
475	10301	11340
476	10324	11319
477	10347	11299
478	10368	11277
479	10389	11255
480	10410	11233
481	10431	11210
482	10452	11187
483	10473	11166
484	10494	11143
485	10515	11121
486	10536	11099
487	10558	11077
488	10578	11054
489	10600	11032
490	10621	11011
491	10643	10989
492	10665	10968
493	10687	10947
494	10708	10925
495	10731	10904
496	10753	10883
497	10774	10860
498	10794	10838
499	10815	10815
500	10837	10793
501	10857	10771
502	10878	10748
503	10899	10726
504	10920	10704
505	10940	10681
506	10961	10659
507	10982	10636
508	11003	10614
509	11024	10592
510	11045	10569
511	11066	10547
512	11087	10525
513	11107	10502
514	11129	10481
515	11149	10458
516	11170	10435
517	11190	10412
518	11211	10390
519	11232	10368
520	11252	10345
521	11272	10322
522	11294	10300
523	11314	10277
524	11335	10255
525	11355	10232
526	11375	10210
527	11395	10187
528	11415	10164
529	11435	10141
530	11456	10118
531	11476	10095
532	11497	10073
533	11518	10051
534	11538	10029
535	11559	10006
536	11579	9984
537	11600	9962
538	11621	9939
539	11642	9917
540	11662	9894
541	11683	9873
542	11704	9850
543	11725	9828
544	11745	9805
545	11766	9783
546	11787	9761
547	11808	9739
548	11828	9717
549	11849	9694
550	11869	9672
551	11889	9649
552	11911	9627
553	11931	9605
554	11952	9583
555	11972	9560
556	11993	9538
557	12013	9516
558	12034	9493
559	12054	9471
560	12075	9449
561	12095	9426
562	12116	9404
563	12136	9382
564	12157	9359
565	12177	9337
566	12197	9314
567	12217	9292
568	12238	9270
569	12258	9247
570	12279	9225
571	12300	9203
572	12321	9181
573	12342	9159
574	12362	9137
575	12383	9115
576	12404	9093
577	12424	9071
578	12445	9049
579	12466	9027
580	12486	9004
581	12507	8983
582	12528	8960
583	12548	8938
584	12569	8916
585	12590	8894
586	12610	8872
587	12631	8850
588	12652	8828
589	12673	8806
590	12693	8784
591	12713	8762
592	12734	8740
593	12754	8718
594	12774	8695
595	12795	8673
596	12816	8651
597	12836	8629
598	12857	8607
599	12878	8585
600	12899	8564
601	12919	8541
602	12940	8519
603	12960	8497
604	12981	8475
605	13001	8453
606	13022	8431
607	13044	8410
608	13066	8389
609	13095	8372
610	13200	8404
611	13227	8386
612	13248	8364
613	13269	8342
614	13290	8320
615	13311	8297
616	13332	8275
617	13353	8254
618	13374	8232
619	13395	8210
620	13416	8187
621	13437	8166
622	13459	8144
623	13479	8122
624	13499	8099
625	13521	8078
626	13542	8056
627	13563	8034
628	13584	8012
629	13604	7989
630	13625	7967
631	13645	7945
632	13666	7923
633	13686	7901
634	13707	7879
635	13727	7856
636	13748	7834
637	13769	7812
638	13789	7790
639	13810	7768
640	13830	7746
641	13851	7723
642	13872	7702
643	13893	7680
644	13914	7658
645	13935	7636
646	13956	7614
647	13977	7592
648	13998	7570
649	14018	7548
650	14039	7526
651	14060	7504
652	14080	7482
653	14101	7460
654	14122	7438
655	14143	7416
656	14163	7394
657	14184	7372
658	14205	7350
659	14226	7328
660	14246	7306
661	14267	7284
662	14288	7262
663	14309	7240
664	14329	7218
